1452
from: 9, to: 0, flow: 0
from: 11, to: 0, flow: 0
from: 21, to: 0, flow: 0
from: 11, to: 1, flow: 0
from: 14, to: 1, flow: 0
from: 12, to: 2, flow: 0
from: 14, to: 2, flow: 0
from: 23, to: 2, flow: 12
from: 2, to: 3, flow: 0
from: 13, to: 3, flow: 0
from: 6, to: 4, flow: 0
from: 15, to: 4, flow: 0
from: 19, to: 4, flow: 0
from: 25, to: 4, flow: 0
from: 1, to: 5, flow: 0
from: 15, to: 5, flow: 0
from: 21, to: 5, flow: 0
from: 11, to: 7, flow: 0
from: 19, to: 7, flow: 0
from: 11, to: 9, flow: 0
from: 15, to: 9, flow: 0
from: 16, to: 9, flow: 0
from: 20, to: 9, flow: 0
from: 2, to: 10, flow: 0
from: 20, to: 10, flow: 0
from: 2, to: 11, flow: 0
from: 5, to: 11, flow: 0
from: 12, to: 11, flow: 0
from: 13, to: 11, flow: 0
from: 0, to: 12, flow: 13
from: 5, to: 12, flow: 0
from: 17, to: 12, flow: 0
from: 1, to: 13, flow: 0
from: 13, to: 14, flow: 0
from: 18, to: 14, flow: 0
from: 20, to: 14, flow: 0
from: 17, to: 15, flow: 0
from: 5, to: 16, flow: 0
from: 8, to: 16, flow: 0
from: 12, to: 16, flow: 13
from: 11, to: 17, flow: 0
from: 22, to: 17, flow: 0
from: 27, to: 17, flow: 0
from: 2, to: 18, flow: 12
from: 12, to: 18, flow: 0
from: 5, to: 19, flow: 0
from: 14, to: 19, flow: 0
from: 27, to: 19, flow: 0
from: 8, to: 20, flow: 0
from: 13, to: 20, flow: 0
from: 4, to: 21, flow: 0
from: 20, to: 21, flow: 0
from: 0, to: 22, flow: 12
from: 8, to: 22, flow: 0
from: 3, to: 23, flow: 0
from: 22, to: 23, flow: 12
from: 0, to: 24, flow: 0
from: 13, to: 24, flow: 0
from: 14, to: 24, flow: 0
from: 27, to: 25, flow: 0
from: 3, to: 26, flow: 0
from: 4, to: 27, flow: 0
from: 16, to: 27, flow: 13
from: 18, to: 27, flow: 12
